name Esperite
cas 12
id 12
Raman_shift Intensity
630.0936 0.825195
630.5757 0.991821
631.0579 3.222778
631.54 5.651855
632.0221 7.719482
632.5042 9.110962
632.9863 10.29529
633.4684 12.4906
633.9506 16.33191
634.4327 17.99438
634.9148 15.61414
635.3969 13.11438
635.879 12.69434
636.3611 13.33459
636.8433 13.28674
637.3254 11.7804
637.8075 10.64758
638.2896 12.01953
638.7717 14.47046
639.2538 15.16431
639.736 13.62842
640.2181 11.38635
640.7002 9.542236
641.1823 8.057617
641.6644 6.660156
642.1465 5.839844
642.6287 4.384888
643.1108 0.767944
643.5929 2.067627
644.075 1.402832
644.5571 1.623413
645.0392 3.907593
645.5214 3.598877
646.0035 2.59436
646.4856 4.380737
646.9677 8.94165
647.4498 12.97314
647.9319 16.04321
648.4141 18.16479
648.8962 19.00623
649.3783 18.84192
649.8604 18.59351
650.3425 18.55615
650.8246 18.14282
651.3068 16.8728
651.7889 15.13867
652.271 13.48364
652.7531 11.99695
653.2352 10.31921
653.7173 7.986816
654.1995 5.39978
654.6816 4.437988
655.1637 6.112915
655.6458 7.033203
656.1279 5.785767
656.61 4.307373
657.0922 3.529419
657.5743 3.494263
658.0564 4.116333
658.5385 5.947144
659.0206 7.615601
659.5027 7.656738
659.9849 6.47644
660.467 5.196899
660.9491 4.067871
661.4312 2.904053
661.9133 1.392822
662.3954 0.355469
662.8776 0.845581
663.3597 1.350586
663.8418 2.958252
664.3239 3.237671
664.806 3.15625
665.2881 3.372803
665.7703 3.990112
666.2524 4.984497
666.7345 6.572754
667.2166 8.233154
667.6987 9.236206
668.1808 9.566406
668.663 8.371704
669.1451 4.505737
669.6272 1.084961
670.1093 2.162964
670.5914 7.265137
671.0735 10.03931
671.5557 8.553223
672.0378 6.935791
672.5199 6.449341
673.002 6.330566
673.4841 6.133179
673.9662 5.80603
674.4484 5.00708
674.9305 3.250366
675.4126 1.062622
675.8947 0.176636
676.3768 0.656372
676.8589 2.477783
677.3411 7.07666
677.8232 11.35388
678.3053 12.38074
678.7874 10.98279
679.2695 10.25037
679.7516 12.58264
680.2338 13.672
680.7159 8.741333
681.198 1.723145
681.6801 0.65979
682.1622 2.370239
682.6443 6.407104
683.1265 8.379028
683.6086 8.717163
684.0907 8.227417
684.5728 6.260132
685.0549 4.79126
685.537 4.20752
686.0192 3.790039
686.5013 3.471802
686.9834 3.397827
687.4655 3.356934
687.9476 2.814453
688.4297 3.023315
688.9119 5.82312
689.394 10.06592
689.8761 13.229
690.3582 14.88196
690.8403 15.18457
691.3224 14.2395
691.8046 12.14539
692.2867 9.184814
692.7688 3.130615
693.2509 0.075317003
693.733 2.081177
694.2151 4.893799
694.6973 5.939331
695.1794 5.322388
695.6615 3.679565
696.1436 0.945679
696.6257 1.465576
697.1078 1.637329
697.59 0.183838
698.0721 0.755249
698.5542 0.881958
699.0363 1.29248
699.5184 2.987549
700.0005 5.176636
700.4827 5.046143
700.9648 0.166992
701.4469 3.095581
701.929 1.891479
702.4111 0.366577
702.8932 1.576416
703.3754 2.045532
703.8575 2.849121
704.3396 4.536865
704.8217 6.557495
705.3038 8.562378
705.7859 10.31104
706.2681 10.49097
706.7502 8.829712
707.2323 6.627441
707.7144 4.181152
708.1965 2.004761
708.6786 1.51062
709.1607 3.5802
709.6428 4.644775
710.1249 2.715454
710.6071 1.484009
711.0892 4.447021
711.5713 9.117188
712.0534 10.71497
712.5355 7.799316
713.0176 4.05603
713.4998 3.952393
713.9819 6.703491
714.464 7.86377
714.9461 6.993286
715.4282 7.176758
715.9103 10.47693
716.3925 14.62036
716.8746 15.38757
717.3567 12.05273
717.8388 11.77087
718.3209 18.37415
718.803 24.59778
719.2852 26.89673
719.7673 26.74268
720.2494 26.22656
720.7315 25.92493
721.2136 25.24292
721.6957 23.01379
722.1779 19.91992
